"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",2856.9534128531,2768.03213728406,2708.06857823941,2556.5962310995,2512.1116149042,2539.05866477149,2611.78905180909,1733.97452708299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2856.9534128531,2782.46275140028,2743.60460982497,2612.52363790458,2603.46738416816,2657.32022938043,2723.52867893138,2177.6433898171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2856.9534128531,2796.68315315212,2775.35506283533,2670.55362447081,2700.04756594373,2779.20368002172,2902.65127260383,2669.67299268689,172.411322481836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2856.9534128531,2810.86236841519,2803.86784079933,2729.37865226143,2791.00795795813,2890.61437352734,3067.46804218119,2758.79569887894,385.746651255155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2856.9534128531,2824.47691482957,2833.66622296717,2781.92748166882,2872.35165606627,2990.03967961169,3179.17176968649,2502.83352639843,536.628073577273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2856.9534128531,2838.30635994955,2864.07638848312,2827.49177033078,2949.83955307348,3080.67106175478,3262.68056094945,2259.17231368395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2856.9534128531,2852.98893901069,2889.90651204341,2872.92696057022,3020.66825181015,3152.62953816154,3312.93580442735,2247.07519746707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2856.9534128531,2867.21031850814,2917.34172671363,2931.72877955484,3085.2495519254,3214.31746048708,3257.03767942093,2541.90931195441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2856.9534128531,2883.11330866415,2959.35239139323,3017.98870975309,3143.37843478868,3288.00335503568,3130.52268333645,1881.76650058991,735.285984050258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2856.9534128531,2898.74937626701,3008.88295817932,3098.7328383286,3195.89194334474,3321.85517435004,3112.58918118546,2301.91969792917,1008.47542536717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2856.9534128531,2915.24540532835,3061.91115005569,3177.5830909393,3245.33304153218,3360.91585250806,3218.67809554219,2649.68945980044,1066.33493563196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2856.9534128531,2934.79293936575,3104.30484906844,3232.16781149869,3296.99775727206,3329.46702399414,3200.31858023636,2581.98629882069,1575.10772115672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2856.9534128531,2952.26296555668,3123.35880265386,3270.06501374747,3320.67997381868,3232.20184115523,3127.42851941474,2656.88602883303,2189.27473738195,39.7974908227046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2856.9534128531,2966.4330891802,3136.10706303252,3299.01280531565,3302.20421515754,3169.48363718249,3078.12746312149,2836.63819039912,2295.37057860595,871.931141056453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
