"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73"
"1",2893.26588666567,2799.4032643445,2742.35684630491,2577.42240544025,2544.44876329607,2593.41492443491,2666.20437545285,1766.9963096694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2893.26588666567,2815.21693141041,2780.72591586662,2638.12933364034,2641.57050923792,2714.76799625669,2777.12248536447,2216.23211221302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2893.26588666567,2830.79645684232,2815.00950394508,2701.54741049038,2743.61798414358,2839.6212212945,2955.09064095276,2709.84483821487,157.949272138497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2893.26588666567,2846.27143418165,2845.82979756678,2766.0024822165,2839.07695539922,2953.18533453698,3120.65502783092,2796.76092620497,364.603218429741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2893.26588666567,2861.09660078942,2877.96760767359,2823.45043790204,2924.08375952998,3054.55373727646,3232.85135686916,2530.30767750908,502.847394777226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2893.26588666567,2876.11731667011,2910.74495844132,2873.06325608707,3004.57789258871,3146.09947577549,3314.25173071568,2274.04861941397,0.220955994627861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2893.26588666567,2892.0221741362,2938.63408516642,2922.52641386729,3077.96557203545,3217.31057706414,3362.40490668887,2262.00954672631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2893.26588666567,2907.42006355992,2967.93247375639,2983.73807570824,3144.73080679508,3276.15085206529,3300.65758635913,2577.14987027651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2893.26588666567,2924.49700389209,3010.40499640897,3068.05476164144,3204.8183229483,3348.44263595818,3169.32101619583,1918.48502868472,713.665718024726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2893.26588666567,2941.29583686939,3059.75973029202,3149.04359458936,3258.92707180874,3383.21407212083,3155.18760284743,2340.28179619786,961.87521038652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2893.26588666567,2958.96806136846,3113.19327661546,3227.94466780573,3309.57682251409,3423.5931918063,3265.29041011365,2694.17221421677,1049.79430223591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2893.26588666567,2979.76157291265,3157.4419862303,3284.74072514961,3362.42941309043,3396.71572044055,3251.57809392896,2623.14629502398,1605.05748895393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2893.26588666567,2998.38308099134,3178.81174880363,3326.82187049743,3393.61371224535,3305.66490010427,3183.68309586624,2706.2605911276,2236.39958011774,28.5479346970727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2893.26588666567,3013.54205859088,3193.45051903775,3359.69019662829,3378.37820159856,3244.73318077211,3135.34552873179,2890.64211531286,2355.68481239691,823.943903934852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2893.26588666567,3024.75230264876,3209.21461055009,3396.11362299915,3370.75985980644,3192.66457672958,3020.64429623321,2921.19150855892,2617.09370778464,1957.57397205392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2893.26588666567,3034.79062740865,3226.52577151037,3432.10756987775,3371.82965593465,3131.06105639758,2859.32644191195,2804.52897722922,2725.93164318356,1573.8076616623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2893.26588666567,3044.3590977437,3242.05096450204,3475.44176537023,3386.85969097088,3066.38039496646,2714.80036899162,2552.14227039101,2411.406660597,872.930463813777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2893.26588666567,3053.54351599477,3252.59837748245,3530.83100480979,3424.2094318845,3032.32741789798,2605.28190583985,2237.25648428676,2203.82287224924,385.218155214224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2893.26588666567,3059.64700168509,3257.9201102152,3585.08399234393,3472.61066936186,3067.66577028421,2568.94728249111,2055.87162762476,1469.78600270944,58.2839088509473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",2893.26588666567,3065.77542491775,3262.17621423722,3631.30529515856,3547.38675523875,3043.8429085901,2585.76837087053,2013.87281082343,1237.95314685209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2893.26588666567,3070.91563021137,3261.82701071951,3649.33065547799,3644.99940246745,3013.89191926275,2707.41163063626,2140.89355833015,1240.06822589699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",2893.26588666567,3075.46464619446,3259.22442391303,3566.26370466483,3694.94540833097,3083.36635985215,2879.34759099128,2434.01735745831,1567.73596692658,4.89065871039886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
